Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629,8124454292,8239343661,9164598459,9655582954,10990594707,11421973771,13865194315,15856574731,15924179998,17954877147,18960483970,19477070578,19759744157,20206376461,20741239893,20987900553,21808863988,..
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5323398064,5629261102,5795245315,5859279197,5785944656,5888971730,6220947387,6171936110,6084292169,6682776548,6042857913,4350728280,4038036613,4424049157,4791372056,5429694612,5923796792,5276919125,5742875712,6483126461,6933706092,7508515183,7849398817,8283474557,8739893897,9223202584,9767379280,10351466806,11127823666,11500613162,11926928506,12230507222,12403877841,12528163103,12750473702,13033375122,13465406060,13977387391,14546448944,14872299622,..
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27434020371,23701500826,19035850475,25567760579,27060767716,28740402023,27359434057,29945711115,33178721530,35976776110,39165274416,34727175507,44250745520,45938104459,49381127583,51872574162,56223000639,59179535472,64632832435,69465963538,70015166290,72115618539,76731021094,80874498553,85403467665,88563393625,88917648087,88295226751,87412269635,91258411388,91988479208,90884616919,92520542117,90577610031,89762414664,93173381744,96993488970,98060417289,1.03062E+11,1.06359E+11,1.10401E+11,1.13713E+11,1.20081E+11,1.28727E+11,1.34262E+11,1.42184E+11,1.44601E+11,1.49517E+11,1.53106E+11,1.55555E+11,1.61155E+11,1.65829E+11,1.71467E+11,1.76268E+11,1.82966E+11,1.89736E+11,1.95808E+11,1.98353E+11,2.00733E+11,2.02339E+11,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,623365638.8,628440528.6,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,537092511,542167400.9,549779735.7,534555066.1,503259911.9,514255506.6,..,..
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,1012346693,1059415401,1145755039,1234991794,1304383387,1311455827,1354783535,1393240089,1413623194,1414210656,1445446718,1443531869,1461524933,1487395653,1513941005,1549086132,1599482888,1688208158,1774210989,1859852761,1930181002,1979323466,1997715576,1977109460,2024227689,2080045751,2176762473,2374144159,2449993086,2550420283,2640408326,2854792523,2984581731,3244067347,3507994167,3697348535,3875142516,3935330770,3716558399,3519475010,3449966857,3449688453,3278085642,3161792390,3240978391,3287458571,3409412701,3421211719,3475566751,3539838261,..
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26637104502,25465071579,25465071579,26534604949,28126681821,29111115541,29955338399,31178339569,33089225853,33102998073,31960911972,32277759446,30393293235,23103942844,23413388607,26925396905,30572272219,32796184094,34334701120,35083709095,36155384575,37676079529,42824774451,44105170975,48935949384,56290491777,62790739427,71587733475,79581318823,80264693647,83799496611,86708995310,94115840393,98778851724,1.03543E+11,1.0452E+11,1.01823E+11,1.01673E+11,99635881426,99013511554,..
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,323050296.8,337211619.8,364457459.9,394202403.3,409240894.5,408897082,430830388,474624277.9,510903578.1,569625959.5,607371476.6,639035409.2,672599304,692856076.1,707936633.2,716137903.4,753949116.1,804288090.3,769224448.2,820027567,864896265,905815589.2,939399770.2,997674789.1,952300505.1,962084840.1,1020546346,1079401546,1149280181,1295332413,1415997591,1415794528,1246427315,1148700000,1126201417,1164186684,1157191361,1201115193,1247061369,1315622165,1357005634,1457277456,1525166900,..
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.15574E+11,1.21847E+11,1.20809E+11,1.14396E+11,1.25985E+11,1.39301E+11,1.38382E+11,1.42799E+11,1.49685E+11,1.64174E+11,1.69174E+11,1.78746E+11,1.81657E+11,1.86765E+11,1.971E+11,1.97044E+11,1.93067E+11,2.06455E+11,1.97152E+11,2.17306E+11,2.20606E+11,2.09157E+11,2.07619E+11,2.16648E+11,2.20051E+11,2.08633E+11,2.21471E+11,2.27461E+11,2.24982E+11,2.0888E+11,2.03727E+11,2.22333E+11,2.3998E+11,2.59676E+11,2.74831E+11,2.67011E+11,2.81768E+11,3.04622E+11,3.16351E+11,3.05641E+11,3.0323E+11,2.89861E+11,2.58282E+11,2.81106E+11,3.06489E+11,3.33618E+11,3.60465E+11,3.92935E+11,4.08877E+11,3.84677E+11,4.23627E+11,4.49062E+11,4.44453E+11,4.55143E+11,4.43707E+11,4.55825E+11,4.46343E+11,4.58923E+11,4.4715E+11,4.37813E+11,..
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6352022585,5608836039,3264342421,2977080327,3137842747,3354353847,3551100143,3669035009,3936874564,4066791425,4306732119,4720178403,5343241952,6091295825,6730881886,7666474469,8678449098,9867396625,10548246992,9060944166,9260284938,9695518330,10393595650,10736584306,11123101341,11479040584,11501998665,12364648565,13007610290,13996188672,..
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,981607427.2,1139434504,1351923641,1515909823,1575961101,1701452874,1801538337,1933189215,2091786180,2145066984,2170502935,2323455542,2369738447,2399076807,2581804608,2505092565,2423084692,2470953875,2666444959,2698824916,2727178974,2776274358,2773756054,2481963892,2390502793,2472880828,2439005749,2541400876,2549025079,2694319531,2750900230,2805918210,..,..,..
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.99141E+11,2.04091E+11,2.06736E+11,2.19584E+11,2.34908E+11,2.48964E+11,2.54895E+11,2.7096E+11,2.84768E+11,3.04828E+11,3.26691E+11,3.3977E+11,3.53064E+11,3.62292E+11,3.77158E+11,3.82249E+11,3.92141E+11,4.06248E+11,4.09891E+11,4.26465E+11,4.39405E+11,4.54072E+11,4.69185E+11,4.58767E+11,4.79785E+11,5.0497E+11,5.25358E+11,5.38761E+11,5.69704E+11,5.91702E+11,6.12831E+11,6.10393E+11,6.12909E+11,6.37609E+11,6.6301E+11,6.88455E+11,7.15157E+11,7.43524E+11,7.77553E+11,8.17003E+11,8.49137E+11,8.65533E+11,9.00166E+11,9.27045E+11,9.6464E+11,9.9555E+11,1.02337E+12,1.06271E+12,1.10159E+12,1.12292E+12,1.14614E+12,1.17437E+12,1.22038E+12,1.25192E+12,1.28364E+12,1.31178E+12,1.34813E+12,1.37914E+12,1.41982E+12,1.4505E+12,..
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,91836704604,96922602310,99489767156,1.03607E+11,1.09952E+11,1.13779E+11,1.20199E+11,1.23815E+11,1.29352E+11,1.3747E+11,1.4616E+11,1.53636E+11,1.63173E+11,1.71153E+11,1.779E+11,1.77253E+11,1.85369E+11,1.94785E+11,1.94375E+11,2.04787E+11,2.08333E+11,2.08032E+11,2.12216E+11,2.18526E+11,2.18638E+11,2.24101E+11,2.29258E+11,2.3237E+11,2.40028E+11,2.49358E+11,2.60195E+11,2.6915E+11,2.74784E+11,2.76232E+11,2.82867E+11,2.90414E+11,2.97238E+11,3.0346E+11,3.14329E+11,3.25507E+11,3.36495E+11,3.40759E+11,3.46387E+11,3.49648E+11,3.59212E+11,3.67273E+11,3.79958E+11,3.94121E+11,3.99877E+11,3.84823E+11,3.91893E+11,4.03347E+11,4.06092E+11,4.06195E+11,4.08881E+11,4.13029E+11,4.21246E+11,4.31354E+11,4.42484E+11,4.48762E+11,..
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22672997489,22514286465,17426057714,13400638502,10760712621,9490948560,9614330841,10171962031,11189158352,12017156024,13351060283,14672815269,16057770027,17696995366,19334640158,24740902926,33268154327,41739296292,46160087686,50484860818,52902703376,52070545111,53217627468,56327354700,57903160570,58510881089,56718342641,56805470323,57657780569,58937036212,..
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1942547494,2149760928,2374453336,2624342116,2899939167,3202275123,3492783239,3828024552,4150411729,4523187706,4267643453,4337057047,4185375593,4502106771,3747813489,3193019925,3358583914,3666059894,4185889595,5280051657,5623005897,5104204596,5446130043,5642030165,6441570645,6752645694,6873990753,7079146336,7242653922,7729891137,7606502820,7288415243,7009590944,7031166906,7252572419,7570144585,7889871945,8052599546,8432358980,9034816848,9409692545,9656711992,9917894277,9792479896,9878922051,10214337148,10471417095,10622910634,10376086537,9942801339,10095760000,10157685793,10471221745,10190699859,10298142085,10321877050,10470928721,10797162391,11123884435,11259359316,..
