Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330.3035529,343.0808897,333.2166845,357.2347199,365.284495,405.5489791,412.0142867,488.300251,543.3030419,528.7366481,576.1901255,587.5650902,583.6561928,574.1841143,571.0737745,571.4406909,564.6099917,573.287551,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,1992.291931,2064.983662,2081.417629,2060.25373,1992.110895,1986.321914,2058.120609,2001.532657,1936.232207,2070.289515,1838.667485,1331.805313,1243.605824,1370.826071,1493.785902,1703.281845,1869.865873,1676.127107,1835.646681,2085.425997,2244.624632,2453.624414,2572.721432,2725.171389,2887.370342,3062.673883,3263.901713,3485.322409,3775.581314,3928.450391,4094.350334,4209.874801,4276.607904,4327.37996,4413.296891,4524.373086,4681.826563,4864.310616,5074.857222,5210.68829,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Algeria,DZA,2335.031721,2894.85637,2924.163984,3057.839565,3123.40374,3290.627149,3365.742967,3570.427726,3725.152976,3642.513086,3637.738276,3751.595793,3832.574051,3924.147006,3948.170462,3848.850787,3713.896358,3576.09948,3634.896868,3571.138128,3442.536665,3423.095537,3277.579956,3181.510374,3239.93596,3314.157956,3296.926555,3413.451523,3473.143117,3556.48141,3615.506893,3769.602638,3989.781675,4106.861968,4289.135883,4298.349767,4376.074651,4408.377572,4402.440918,4479.34172,4523.248437,4586.655185,4621.590589,4700.640563,4775.873295,4828.626059,4792.387242,4753.510987,4699.763405,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10551.21257,10561.31569,10586.68234,10565.23192,10202.95531,10535.55194,10416.00578,10117.01136,10271.22452,10360.50915,9921.806108,9640.344462,9717.829056,9850.565034,9589.979837,9048.182522,9271.71201,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Andorra,AND,41449.79856,42605.79499,43744.39623,44186.42908,42711.47458,42634.09179,42514.42096,41901.27143,40617.22834,40076.7105,38494.18318,37365.77523,36396.00786,35450.31156,34732.87291,34384.91064,34840.7421,35178.86721,35460.89004,35410.31761,34926.56678,33923.98411,32427.04662,32296.18024,32577.06736,33821.66677,36907.42859,38196.39372,39621.25654,40379.39021,42393.08182,42607.05694,44328.76045,46010.10134,46880.8061,47845.40042,47594.82814,44317.55024,41668.83736,40852.66678,41191.78541,39769.56146,39143.68968,40914.72852,42140.9618,44107.95633,44430.74401,45133.71361,45887.30213,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,3193.403861,2947.194112,2844.32188,2859.919206,2925.366767,2922.216855,2902.61785,2916.793935,2989.616586,2889.885859,2697.490778,2635.15555,2401.233656,1767.025335,1733.843844,1930.799509,2122.968459,2205.294,2235.390172,2211.12994,2205.205338,2223.334633,2444.417782,2433.86155,2608.784045,2896.554729,3116.181039,3424.371702,3668.079892,3565.056936,3587.883798,3579.959907,3748.450655,3796.882189,3843.197877,3748.320118,3530.310672,3409.930303,3233.906235,3111.157699,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,5197.160456,5435.740857,5882.900631,6371.977746,6622.020946,6618.706712,6972.832278,7681.744698,8268.921408,9224.114381,9841.234613,10345.23335,10846.97626,11080.73305,11172.00804,11107.90748,11462.1998,11967.8604,11201.75401,11685.79891,12062.0365,12370.47401,12580.01139,13124.5368,12333.58163,12287.94738,12869.4369,13436.08775,14107.65581,15662.27043,16851.89811,16578.97265,14368.70074,13049.25705,12618.07913,12876.88929,12644.68902,12976.33146,13328.14665,13917.95112,14220.50211,15134.88416,15704.26594,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Argentina,ARG,7368.07758,7368.50577,7453.753557,7740.855928,7617.943151,7350.828567,7743.582315,7285.439556,7910.366622,7908.022618,7380.674984,7210.347021,7403.72721,7399.889119,6904.645044,7214.270703,7294.064256,7104.181201,6497.425545,6245.708577,6721.278239,7157.328311,7644.235692,7988.644614,7666.530004,7994.243371,8543.028534,8772.06321,8381.253998,8224.112827,7776.137872,6854.294081,7380.467087,7962.412309,8577.864994,9174.502458,9901.511881,10201.47594,9502.243585,10385.96443,10883.31536,10649.83729,10784.6307,10398.69401,10568.15781,10239.48135,10419.45541,10049.55524,9742.455417,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1795.284226,1600.120744,948.1603061,885.2169859,955.5910351,1042.583472,1120.849885,1171.059938,1266.410727,1316.530418,1403.031257,1547.250964,1761.134046,2018.367486,2243.088954,2571.547374,2933.586372,3364.705742,3627.796702,3137.346098,3218.372707,3370.551103,3603.595848,3705.357396,3819.217787,3923.716502,3917.379676,4198.794749,4406.706434,4732.069506,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.18132,26087.77566,27190.50147,27151.92373,26954.40489,28417.38421,26966.05486,25508.30272,25469.2876,27005.52943,26979.8854,27046.22423,27427.57857,27365.93119,24463.6922,23512.6026,24233.00108,23781.2573,24635.76495,24563.23433,25822.25137,26231.02668,26630.20528,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Australia,AUS,26263.45102,26793.94835,27077.12774,27483.64941,27513.8157,27944.19553,28625.13251,28547.9479,29383.03304,29907.79666,30419.48686,30912.1882,29850.15782,30866.22226,32045.31233,32797.17964,33126.19539,34460.27974,35190.16473,35911.37208,35315.50595,35033.38967,36090.38421,37133.04131,38095.12901,39056.16801,40153.61472,41555.94491,43168.29872,44334.41639,44585.21119,45806.7194,46595.92349,47926.72586,48813.91641,49443.23229,51024.20916,51841.261,51767.40246,52022.1256,52567.76192,53682.03214,54129.93577,54679.41645,55079.89234,55728.68226,56058.46595,56832.05048,57186.62129,..
