artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,28322108,"['dance pop', 'pop']",88
4IWBUUAFIplrNtaOHcJPRM,James Arthur,7279217,"['pop', 'talent show', 'uk pop']",86
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,17241689,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",85
04gDigrS5kc9YWfZHwBETP,Maroon 5,28845735,"['pop', 'pop rock']",88
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6407022,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",78
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,8222199,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,7181972,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop dance']",81
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,27614631,"['canadian contemporary r&b', 'canadian pop', 'pop']",95
46GXASE9LHzyssNqKOInUu,Dawin,208700,['nyc pop'],56
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6118138,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",81
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3072587,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",79
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2959359,"['ohio hip hop', 'pop rap']",88
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,14121084,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",83
7gAppWoH7pcYmphCVTXkzs,The Vamps,4136206,"['boy band', 'dance pop', 'pop', 'post-teen pop']",76
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,14152034,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",82
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,56119697,"['dance pop', 'pop', 'post-teen pop']",98
02A3cEvlLLCbIMVDrK2GHV,Starley,120165,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']",62
2oX42qP5ineK3hrhBECLmj,Andy Grammer,892454,"['modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",76
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,30893615,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",92
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4129685,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",80
0jKQrxK2zHqxyOAyIMrUQt,SUD,282587,"['opm', 'pinoy rock']",56
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,12082489,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",82
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3488062,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']",79
3e7awlrlDSwF3iM0WBjGMp,Little Mix,8543264,"['dance pop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",85
3iri9nBFs9e4wN7PLIetAw,gnash,1560487,"['electropop', 'indie cafe pop', 'pop', 'sad rap', 'social media pop']",73
31TPClRtHm23RisEBtV3X7,Justin Timberlake,10152733,"['dance pop', 'pop']",83
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6214832,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,5274140,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",80
3TVXtAsR1Inumwj472S9r4,Drake,52018643,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",97
6Dd3NScHWwnW6obMFbl1BH,Daya,1180760,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",75
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62632,[],48
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1920605,"['opm', 'pinoy rock']",63
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,306705,"['dance pop', 'downtempo', 'edm', 'pop', 'post-teen pop', 'shiver pop']",61
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,341464,"['indie poptimism', 'pop', 'pop rap', 'post-teen pop', 'rap']",72
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1078416,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",69
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1163907,['pop rap'],74
